created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:15:04 +0000 2015,AIDS N : Bi-Monthly Anti-Viral Injections Might One Day Replace Daily HIV Pills https://t.co/cue3LEUAUk,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:04 +0000 2015,"AIDS N : Young, Gay, HIV-Positive—and a Pastor https://t.co/qWvxfQQYSc",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:04 +0000 2015,AIDS N : Researchers Link Large-Effect Variants to Host Contribution to HIV Viral Load Levels https://t.co/g2dsZTGHMT,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:05 +0000 2015,AIDS N : HIV drug given approval by USA authorities: Last week United States Food & Drug Administration (US FDA)… https://t.co/27bMfN7q7y,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:05 +0000 2015,@basicallySydnee  https://t.co/UluTEFdlFG,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:04 +0000 2015,AIDS N : Bi-Monthly Anti-Viral Injections Might One Day Replace Daily HIV Pills https://t.co/he0PXQ8n8B,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:05 +0000 2015,AIDS N : Researchers Link Large-Effect Variants to Host Contribution to HIV Viral Load Levels https://t.co/siyP2yZQEj,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:05 +0000 2015,AIDS N : 8 modern advancements in the struggle against HIV: But that doesn't discount the advancements that have… https://t.co/YkgsupoW7C,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:05 +0000 2015,"AIDS N : Young, Gay, HIV-Positive—and a Pastor: Dennis Massenberg says that he used to be a ""church hopper,""… https://t.co/fKo7c45y6R",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:06 +0000 2015,AIDS N : Bi-Monthly Anti-Viral Injections Might One Day Replace Daily HIV Pills: The combination of rilpivirine… https://t.co/xW9LtOIQEg,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:06 +0000 2015,AIDS N : Researchers Link Large-Effect Variants to Host Contribution to HIV Viral Load Levels: After primary… https://t.co/pbZSN41Og2,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:06 +0000 2015,Är såååå trött,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:06 +0000 2015,"I'm at The Twilight Zone Tower of Terror - @waltdisneyworld in Lake Buena Vista, FL https://t.co/LLP9KOzuIY",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:08 +0000 2015,#DesignatedPatrolAreaAvailable at 9775 Airport Park Dr. #orlpol #opd,DesignatedPatrolAreaAvailable,,
,,orlpol,,
,,opd,,
,,,,
Mon Nov 09 21:15:14 +0000 2015,Ginger shots smell good but god damn I almost blew my face off,,,
,,,,
,,,,
,,,,
